Message-ID,Subject,Body,summary,action_item,draft_reply
<32819769.1075853842487.JavaMail.evans@thyme>,CALP,"Hi team.  FYI - I just received the CALP invoice for Feb today in my inbox.  
I mailed it to Mark just so he could have a non-faxed copy for his files.","
- CALP invoice for February received.
- Invoice sent to Mark for his records.
"," No action items are required for demo@gmail.com based on the provided email.
"," Dear Team,

Thanks for the heads-up! Appreciate you forwarding the CALP invoice for February to Mark. This helps keep everything organized.

Best,

Demo
"
<19128094.1075840636192.JavaMail.evans@thyme>,Fw: Photos 2 of 3,"----- Original Message -----
From: Allison Tawa <geeteein@pacbell.net>
To: Jason Brown <Lilchocolate71@hotmail.com>; Mark Guzman
<guzman27@email.msn.com>
Sent: Wednesday, August 02, 2000 1:05 PM
Subject: Photos 2 of 3


>
>


----------------------------------------------------------------------------
----





 - Oba Restaurant.JPG","
- Allison Tawa sent photos to Jason Brown and Mark Guzman.
- The email subject is ""Photos 2 of 3"".
- The email includes an attachment named ""Oba Restaurant.JPG"".
"," No action items for demo@gmail.com can be identified from the provided email thread.
"," Dear Allison Tawa,

Thank you for sending the photo. I have received the attachment.

Best regards,

demo@gmail.com
"
<29423241.1075854293049.JavaMail.evans@thyme>,"HPL Nom for March 1, 2001","(See attached file: HPLN0301.xls)

 - HPLN0301.xls","
- The email contains an attached file named ""HPLN0301.xls"".
"," Review the attached file HPLN0301.xls.
"," Dear Recipient,

Thank you for sending the file HPLN0301.xls. I have received it successfully.

Please let me know if you require anything further from my side.

Best regards,
Demo
"
<10740194.1075849772287.JavaMail.evans@thyme>,Re: Pricing - Dec 2000 Purchase from PG&E,i went in and changed it.,"
- The sender made a change (the nature of the change is unspecified in this single email).
"," No action items identified for demo@gmail.com. The email thread is too brief and lacks specific instructions or requests for the recipient.
"," Dear [Sender's Name],

Thank you for letting me know. I appreciate you taking the initiative and making the changes. Could you please provide some details on what specifically you adjusted? This will help me stay informed and ensure everything aligns with the project's goals.

Best regards,

demo@gmail.com
"
<5108322.1075844484796.JavaMail.evans@thyme>,Other-Canadian Prepay,"Attached are (1) the RMT Confirms and (2) the Incumbency Certificates 
required to be executed under the ISDA.","
- The email includes two attachments: RMT Confirms and Incumbency Certificates.
- These documents are required for execution under the ISDA.
"," Review and execute the RMT Confirms document.
"," Dear Recipient,

Thank you for sending the RMT Confirms and Incumbency Certificates. I have received them and will review them promptly.

Best regards,

Demo
"
<20782631.1075854175209.JavaMail.evans@thyme>,"HPL Noms for February 15, 2000","(See attached file: hpl0215.xls)

 - hpl0215.xls","
- An Excel file named ""hpl0215.xls"" was attached to the email.
"," Review the attached file named ""hpl0215.xls"".
"," Dear Recipient,

Thank you for sending the attached file, hpl0215.xls. I have received it successfully.

Sincerely,

demo@gmail.com
"
<21061257.1075854605381.JavaMail.evans@thyme>,UT game,"I just though you would be interested in knowing that the UT game that you 
are going to will be at 6 pm.

http://www.texassports.com/fbo/fbc/2000schedule.html","
- The UT game is scheduled for 6 pm.
- A link to the Texas Sports website with the football schedule is provided.
"," Check the UT game time, which is scheduled for 6 pm.
"," Dear [Recipient],

Thank you for the heads-up regarding the UT game time. I appreciate you letting me know it will be at 6 pm. I'll be sure to adjust my plans accordingly.

Best regards,

demo@gmail.com
"
<21867125.1075842317469.JavaMail.evans@thyme>,,"I left a message with ""Kevin"" to give me a call ASAP!


Debra Perlingiere
Enron North America Corp.
1400 Smith Street, EB 3885
Houston, Texas 77002
dperlin@enron.com
Phone 713-853-7658
Fax  713-646-3490","
- Debra Perlingiere left a message for ""Kevin"" requesting an urgent call back.
- Debra Perlingiere's contact information includes her name, company (Enron North America Corp.), address, email (dperlin@enron.com), phone number (713-853-7658) and fax number (713-646-3490).
"," No action items for demo@gmail.com are present in this email.
"," Dear Debra Perlingiere,

Thank you for your email. I understand you left a message with Kevin and are looking for a call back as soon as possible. I will ensure Kevin is aware of the urgency and has your contact information (713-853-7658) to reach you at Enron North America Corp.

Sincerely,

demo@gmail.com
"
<17570364.1075857903947.JavaMail.evans@thyme>,PRLWG Conference Call,"jcox@nyiso.com writes to the NYISO_TECH_EXCHANGE Discussion List:

PRICE RESPONSIVE LOAD WORKING GROUP
DATE:  Wednesday, May 16, 2001
TIME:  8:30 - 12 NOON
Dial in Number:  954-797-5363
Participant Code:  913317



Judith E. Cox
Administrative Clerk
New York Independent System Operator
518-356-6233
jcox@nyiso.com","
- Price Responsive Load Working Group meeting scheduled for Wednesday, May 16, 2001.
- Meeting time: 8:30 AM - 12:00 PM.
- Dial-in number: 954-797-5363, Participant Code: 913317.
- Sent by Judith E. Cox, Administrative Clerk at New York Independent System Operator (NYISO).
",No action_item," Dear Judith E. Cox,

Thank you for the information regarding the Price Responsive Load Working Group meeting. I appreciate the details about the date, time, and dial-in information. I will make every effort to attend.

Best regards,

demo@gmail.com
"
<2738804.1075855244278.JavaMail.evans@thyme>,RE: EEPC,"Cool.

 -----Original Message-----
From: 	Mann, Kay  
Sent:	Thursday, December 13, 2001 11:58 AM
To:	Tapscott, Ron; Jacoby, Ben; Zisman, Stuart
Subject:	EEPC

There are no immediate plans to put EEPC into Chap. 11. Due diligence is underway to see what's there. 

Kay","
- Kay Mann informed Ron Tapscott, Ben Jacoby, and Stuart Zisman that there are no immediate plans to file EEPC for Chapter 11.
- Due diligence is in progress.
"," None. The provided email thread does not include demo@gmail.com as a recipient. Therefore, there are no action items for demo@gmail.com.
"," Dear Kay,

Thank you for the update regarding EEPC. I appreciate you keeping us informed on the situation.

Best regards,

demo@gmail.com
"
<2634393.1075855433629.JavaMail.evans@thyme>,Contact Info,"I have enjoyed my years working with all of you.   Hopefully, our paths will continue to cross in the future.    Since our days may be numbered, below is my personal contact info.  Best of luck in the future.

John Allario
4226 Amherst 
Houston, TX   77005

713-662-0076 - home
713-562-8684 - cell

jallario@houston.com <mailto:jallario@houston.com>","
- John Allario is leaving his current role.
- He provided his personal contact information:
  - Address: 4226 Amherst, Houston, TX 77005
  - Phone: 713-662-0076 (home), 713-562-8684 (cell)
  - Email: jallario@houston.com
"," No specific action items are identified for demo@gmail.com in this email thread. The email is a farewell message with contact information from John Allario.
"," Dear John Allario,

Thank you so much for your kind words and for sharing your contact information. It's been a pleasure working with you as well, and I sincerely appreciate your contributions. I certainly hope our paths do cross again in the future. Best of luck to you in your future endeavors!

Sincerely,

demo@gmail.com
"
<31961219.1075853276329.JavaMail.evans@thyme>,Re: Robert Burns,"Make sure you tell Scwartzenberg. I hear he is kinda a pain in the ass.



	Andrew Edison@ENRON
	04/17/2001 07:51 AM
		 
		 To: Richard B Sanders/HOU/ECT@ECT
		 cc: 
		 Subject: Robert Burns

You sent me a note yesterday asking what has happened to the Robert Burns 
matter (the $11 million invoice).  I have talked to Mr. Burns' lawyer and 
told him -- in essence -- that he is crazy and that we don't intend to pay 
his client a dime.  We'll just have to sit back and wait and see if a lawsuit 
is filed.

Andy","
- Andrew Edison informed Richard B Sanders about the Robert Burns matter.
- Edison spoke to Mr. Burns' lawyer regarding the $11 million invoice and stated that Enron does not intend to pay.
- Edison is awaiting a potential lawsuit.
"," None
"," Dear Andrew Edison,

Thank you for the update on the Robert Burns matter, specifically the $11 million invoice. I appreciate you informing Mr. Burns' lawyer of our position and outlining our current strategy. I will be sure to relay this information to Scwartzenberg, as per your request.

Sincerely,

demo@gmail.com
"
<27106774.1075844365730.JavaMail.evans@thyme>,,"Gary Rosenblum suggested I forward our standard draft with respect to the
ISDA Agreement to be negotiated between our respective institutions. Please
note the draft is subject to revision by our corporate credit department. If
I can be of any further assistance please do not hesitate to contact me.

 <<mli_Enron_North_America_Corp.doc>>




Best Regards


Kasar Akhtar
Telephone: 212 449 7482
Facsimile:  212 449 2615
e-mail:    kakhtar@exchange.ml.com


 - mli_Enron_North_America_Corp.doc","
- Kasar Akhtar forwarded the standard draft of the ISDA Agreement to be negotiated between Merrill Lynch and Enron North America Corp, as suggested by Gary Rosenblum.
- The draft is subject to revision by Merrill Lynch's corporate credit department.
"," Review the attached document ""mli_Enron_North_America_Corp.doc"" which is the standard draft for the ISDA Agreement.
"," Dear Kasar Akhtar,

Thank you for forwarding the draft ISDA Agreement. We appreciate you making it available.

We understand the draft is subject to revision by your corporate credit department. We will review the document and be in touch if we have any questions or require any further clarification.

Best regards,

Demo
"
<17502756.1075846296156.JavaMail.evans@thyme>,California Update,"Steve, I understand that you are developing a campaign for California, 
considering all of media attention that has been placed on this state.  I 
publish a weekly deregulation report and it contains some information that 
may prove useful.  The report is attached.

Frank","
- Frank is sharing a weekly deregulation report with Steve, who is developing a campaign for California.
- Frank believes the report contains potentially useful information for Steve.
- The report is attached to the email.
"," Review the attached deregulation report from Frank.
"," Dear Frank,

Thank you very much for sending over the weekly deregulation report. I appreciate you thinking of me and the campaign for California. The information contained within will be very helpful as we build our strategy. I will be sure to take a look at it.

Best regards,

Steve
"
<3634289.1075842300168.JavaMail.evans@thyme>,Re: Marcie's leaving,"I went to my church Sunday and was not feeling so good.  Hope all is well 
with you. I am sure things are Great!!  We were talking Sat. night about 
getting together to do some planning.  Are you still interested?  Who besides 
you and Marcie planned events?

Debra Perlingiere
Enron North America Corp.
Legal Department
1400 Smith Street, EB 3885
Houston, Texas 77002
dperlin@enron.com
Phone 713-853-7658
Fax  713-646-3490","
- Debra Perlingiere inquired about planning an event.
- Debra Perlingiere mentioned a Saturday night conversation regarding event planning.
- Debra Perlingiere asked if the recipient and Marcie were still interested in planning.
- Debra Perlingiere asked who else planned events.
"," Confirm interest in planning events with Debra Perlingiere and Marcie.
"," Dear Debra,

Thank you for your email and I hope you are feeling better after Sunday. Yes, I am still interested in planning events with you and Marcie. I remember we discussed this on Saturday night.

Besides us three, I believe [Name of another person] and [Another person's name] have helped with event planning in the past. We could reach out to them.

Let me know what days and times work best for you to get together and we can start planning.

Best regards,

[Your Name/Demo]
"
<30153001.1075858355793.JavaMail.evans@thyme>,,"I'm going home...can you believe it?  Give me a call when you get out of 
here.  

Talk to ya later,
Robin","
- Robin is going home.
- Robin will call the recipient later.
"," Call Robin when they are out of the location.
"," Hi Robin,

That's great to hear! I can't believe it either. I will definitely give you a call when I'm finished here.

Talk to you later,
Demo
"
<15756181.1075841929147.JavaMail.evans@thyme>,Correction - Revised EES Prices 1/31,"Okay - third time's the charm. After cuts were made by the Cal-ISO last 
night, I sent you a revised volume schedule of our sales to EES for 1/31; 
however, I failed to change the total load at SP-15 to reflect cuts. Now 
you'll see the CORRECT revisions made at all delivery points. Let me know if 
you have questions.

Thanks,
Kate","
- Kate sent a revised sales volume schedule to EES for January 31st after Cal-ISO cuts.
- The total load at SP-15 was corrected to reflect the cuts.
- Kate requests EES to ask if they have any questions.
"," Review the revised volume schedule of sales to EES for 1/31, reflecting the cuts made by Cal-ISO, and the corrected total load at SP-15.
"," Dear Kate,

Thank you for the updated volume schedule for our sales to EES for January 31st, and for pointing out the correction needed at SP-15. I've reviewed the revisions and everything looks correct. I don't have any questions at this time.

Thanks again for your diligence.

Best regards,

Demo
"
<23837095.1075853745534.JavaMail.evans@thyme>,Final volumes,"Please see the Mar-00 spreadsheet which shows my IBSS withdrawals and what I'm
estimating to be the total capacity numbers from ETNG and Transco.

David



 - CES-AGL-Feb00.xls
 - CES-AGL-Mar00.xls","
- David shared the Mar-00 spreadsheet containing his IBSS withdrawals and estimated total capacity numbers from ETNG and Transco.
"," Review the ""Mar-00"" spreadsheet to understand David's IBSS withdrawals.
"," Dear David,

Thanks for sending over the spreadsheets. I've reviewed the Mar-00 spreadsheet and have taken note of your IBSS withdrawals and capacity estimates from ETNG and Transco. I will use this information for [mention the purpose you'll use the information for, e.g., the upcoming forecast, analysis, etc.].

Please let me know if you have any questions.

Best regards,

demo@gmail.com
"
<17322381.1075845411674.JavaMail.evans@thyme>,Broker Report 05/22/01,"Thanks,
Adam Johnson
x54877","
- Adam Johnson sent an email.
- Adam Johnson's contact details are x54877.
"," None. The email only contains a sender's name, Adam Johnson, and contact information. There are no action items for demo@gmail.com.
"," Dear Adam Johnson,

Thank you for your email.

Best regards,

Demo
"
<20760736.1075857157248.JavaMail.evans@thyme>,Confidentiality Agreement,"Following up on our conversation, attached is a revised draft of the
Confidentiality Agreement blacklined to show changes from the agreement you
provided to Michael Cyrus last week.  Please call me with any comments or
questions you may have.


 <<Confidentiality Agreement between Enron North America Corp and Cinergy
Services Inc..DOC>>

 - Confidentiality Agreement between Enron North America Corp and Cinergy 
Services Inc..DOC","
- Revised draft of the Confidentiality Agreement between Enron North America Corp and Cinergy Services Inc. attached, showing changes from the version provided to Michael Cyrus.
- Sender requests a call for any comments or questions.
"," Review the attached revised draft of the Confidentiality Agreement between Enron North America Corp and Cinergy Services Inc., noting the changes from the agreement provided to Michael Cyrus.
"," Dear [Sender Name],

Thank you for sending the revised draft of the Confidentiality Agreement. I have reviewed the blacklined changes and will be in touch if I have any questions.

Best regards,

demo@gmail.com
"
<19691993.1075856171057.JavaMail.evans@thyme>,Re: hey there,"thursday sounds great -- and around 1130 would be good if you can make it -- 
we can go to bourays, ny pizzeria, allen center -- whatever you want.","
- A meeting is scheduled for Thursday around 11:30 AM.
- The location for the meeting is flexible, with options including Bourays, NY Pizzeria, or Allen Center.
"," Confirm availability for Thursday at approximately 11:30 AM.
"," Dear [Recipient],

Thursday at 11:30 AM sounds perfect. Thank you for the flexibility with the location – I'm happy to go with your suggestion of Bouray's NY Pizzeria in the Allen Center.

Looking forward to it!

Best,

Demo
"
<17302240.1075860334285.JavaMail.evans@thyme>,same,please remove my name from this list...thank  you...Dan Kessler?,"
- Dan Kessler requested removal from a list.
"," Remove Dan Kessler from the list.
"," Dear Dan Kessler,

Thank you for your email. I have removed your name from the list as requested.

Sincerely,
Demo
"
<12666213.1075860753387.JavaMail.evans@thyme>,FW: Health test,"-----Original Message-----
From: Walker, Scott [mailto:swalker@sidrichgas.com]
Sent: Monday, February 04, 2002 1:15 PM
To: Kim Walker (E-mail); Mike Murphy (E-mail); Natalie Shields (E-mail);
Paul Pousson (E-mail); Stacy Jared (E-mail); Tracey & Alex Montoya
(E-mail); Tony and Karen Hutchison (E-mail); Vernon Ritter (E-mail);
Stacy Neuweiler (E-mail); T. K. Lohman (E-mail); Carey Metz (E-mail)
Subject: FW: Health test




>  
> 
>  <<Medical Press Release_.doc>>","
- Scott Walker forwarded a document regarding a health test to a large distribution list.
- The recipients include Kim Walker, Mike Murphy, Natalie Shields, Paul Pousson, Stacy Jared, Tracey & Alex Montoya, Tony and Karen Hutchison, Vernon Ritter, Stacy Neuweiler, T. K. Lohman, and Carey Metz.
- The forwarded document is titled ""Medical Press Release_.doc"".
",No action_item," Dear Scott Walker,

Thank you for forwarding the information regarding the health test. I have received the attached document, ""Medical Press Release_.doc"".

Best regards,

demo@gmail.com
"
<28788314.1075840702293.JavaMail.evans@thyme>,Length at Four Corners on Monday is a PNM Parking Deal,"Bill Williams has all of  the details on how to deal with this length.

C","
- Bill Williams has details on how to handle the length issue.
"," Contact Bill Williams to obtain details on how to address the length issue.
"," Dear C,

Thank you for the information. I will reach out to Bill Williams to get the details regarding this.

Best regards,

Demo
"
<24655390.1075841896465.JavaMail.evans@thyme>,#517518 and 517520,"Energy type is Firm in EnPower - is this correct? Counterparty seems to 
disagree. Please let me know when you get a chance.

Kate
---------------------- Forwarded by Kate Symes/PDX/ECT on 03/05/2001 12:02 PM 
---------------------------

From: Kimberly Allen on 03/05/2001 11:17 AM CST
To: Kate Symes/PDX/ECT@ECT
cc:  
Subject: #517518 and 517520

Kate, could you ask Tom if this transaction is suppose to be Firm in Enpower. 
Their confirmation says Non-Firm, Transmission Contingent. Could you ask him 
which is correct?

Enron Power Marketing, Inc.
Kimberly Indelicato Office:713-853-3031
Trading Support Fax:713-646-2443
kallen3@enron.com","
- Kimberly Allen inquired about the energy type for transactions #517518 and #517520 in EnPower.
- Counterparty's confirmation states ""Non-Firm, Transmission Contingent,"" while the internal system might indicate ""Firm.""
- Kate Symes was asked to clarify the correct energy type with Tom.
"," Ask Tom if transaction #517518 and 517520 are supposed to be Firm in Enpower, as the confirmation indicates ""Non-Firm, Transmission Contingent.""
"," Dear Kate,

I've checked with Tom regarding transactions #517518 and #517520, and he confirmed that the energy type should indeed be Firm in EnPower. Please let Kimberly Allen know that the EnPower confirmation is incorrect.

Best regards,

demo@gmail.com
"
<1753729.1075842327960.JavaMail.evans@thyme>,Tug Fork,"Do you have transaction numbers for the most recent December/January deals?


Debra Perlingiere
Enron North America Corp.
Legal Department
1400 Smith Street, EB 3885
Houston, Texas 77002
dperlin@enron.com
Phone 713-853-7658
Fax  713-646-3490","
- Debra Perlingiere requested transaction numbers for recent December/January deals.
"," Provide transaction numbers for the December/January deals to Debra Perlingiere.
"," Dear Debra Perlingiere,

Thank you for your email.

I am currently compiling the transaction numbers for the December/January deals and will forward them to you as soon as they are available. I anticipate having them ready by [Suggest a realistic timeframe, e.g., the end of the week, or within 3 business days].

Please let me know if you have any other questions.

Sincerely,

Demo
"
<2707784.1075845106897.JavaMail.evans@thyme>,<<Concur Expense Document>> - Customer Outing - Crawfish Boil Party,"The Approval status has changed on the following report:

Status last changed by: Hunter S. Shively
Expense Report Name: Customer Outing - Crawfish Boil Party
Report Total: $820.44
Amount Due Employee: $820.44
Amount Approved: $820.44
Amount Paid: $0.00
Approval Status: Accounting Review
Payment Status: Pending


To review this expense report, click on the following link for Concur Expense.
http://xms.enron.com","
- Hunter S. Shively updated the approval status of the ""Customer Outing - Crawfish Boil Party"" expense report.
- The report total and amount due/approved are $820.44.
- The current approval status is ""Accounting Review"" and the payment status is ""Pending"".
- A link to the Concur Expense report is provided.
"," Review the ""Customer Outing - Crawfish Boil Party"" expense report.
"," Dear Hunter S. Shively,

Thank you for the update regarding the ""Customer Outing - Crawfish Boil Party"" expense report. I have received notification that the report is now in Accounting Review.

I will monitor the payment status of the report and await further updates.

Best regards,

Demo
"
<16734913.1075853022303.JavaMail.evans@thyme>,Have you left to LJM or are you still here?,I'd like to talk to you if you're still here.,"
- The email is a simple inquiry about the recipient's availability for a conversation.
"," Respond to the sender to indicate whether they are available to talk.
"," Dear [Recipient],

Yes, I am still here. I'd be happy to talk. Please let me know what you'd like to discuss and when would be a good time for you.

Best regards,

Demo
"
<8463318.1075856307793.JavaMail.evans@thyme>,"Financial Mathematics- Houston, August 31 and September 1","?
 - speaker chase- vince kaminski.doc","
- The email thread contains a document named ""speaker chase- vince kaminski.doc"".
"," Review the document ""speaker chase- vince kaminski.doc"".
"," Dear [Recipient],

Thank you for sending the document ""speaker chase- vince kaminski.doc"". I will review it and get back to you if I have any questions.

Best regards,

demo@gmail.com
"
<2559592.1075847075189.JavaMail.evans@thyme>,SWAP Group calendars May thru July Calendars,Please let me know if you have revisions to the attachment.,"
- The sender is requesting revisions to an attached document.
"," Review the attachment for revisions.
"," Dear [Sender Name],

Thank you for sending the attachment. I've reviewed it and will let you know if I have any revisions. I anticipate providing feedback by [Suggest a timeframe, e.g., the end of the day/tomorrow morning].

Best regards,

demo@gmail.com
"
<10331589.1075857164657.JavaMail.evans@thyme>,Re: Current work items,"Bruce -

We have set up an on-site meeting with UAE next Wednesday (Mar  in Boston 
(Lowell, MA actually).  We will be arriving around noon, so an early am 
flight into Boston would probably work.  I don't know what your calendar is 
like, but I hope you can fit this meeting in, as your inclusion in imperative.

Also, FYI, I am going to be with Reed and one of his Fin guys in Bank meeting 
earlier in the week, so we should have some more ideas regarding their 
options (if any) in financing structures for the project.

Regards,

Tom","
- Tom scheduled an on-site meeting with UAE for next Wednesday in Lowell, MA.
- Tom requested Bruce's attendance at the meeting.
- Tom will be with Reed and a finance person at a Bank meeting earlier in the week to discuss financing options.
"," Attend the on-site meeting with UAE in Lowell, MA next Wednesday, arriving around noon.
"," Dear Tom,

Thank you for the update and the invitation to the meeting with UAE next Wednesday in Lowell, MA. I have reviewed my calendar and I am available. An early morning flight into Boston on Wednesday works perfectly. Please let me know the exact address and any other logistical details (agenda, etc.) once they are finalized.

Also, thanks for the heads-up about the meeting with Reed and his Fin guys. I look forward to hearing more about the financing options.

Best regards,

Bruce
"
<19507444.1075842012109.JavaMail.evans@thyme>,EB2636:  Mtg w/John Sherriff,Lauren Lauren," This is a single email, and therefore has no conversation to summarize.
"," No action items.
"," Dear Lauren,

Thank you for your email. I received it. If you have any specific questions or information you'd like to share, please let me know.

Best regards,

Demo
"
<9695430.1075840642603.JavaMail.evans@thyme>,Civil War Weekend,"Hello there fellow Fraters:
I 'm just wishing you all the best on this weekends Civil
War.  I hope to see and speak with as many of you as
possible this weekend whether at the game or at good old
Clodfelters.  As for the Alumni donation, I guess we are
almost there.  If you haven't given but have been
considering it, let Dustin or I (Rich T771) know.  If you
haven't considered it yet, then maybe you could start?
Thank you for your time and Go Beavs.

Rich Roskopf      ffitness@uswest.net","
- Rich Roskopf wishes fellow members well for the Civil War weekend.
- He encourages attendance at the game or Clodfelters.
- He mentions the alumni donation, urging those who haven't donated to consider it and contact either Dustin or Rich T771.
- He concludes with ""Go Beavs.""
"," None. The email is a general announcement and does not contain any specific action items for the recipient demo@gmail.com.
"," Dear Rich Roskopf,

Thank you for the update and the well wishes regarding the Civil War game. I appreciate the reminder about the alumni donation. I will certainly keep it in mind. I hope you have a great time at the game and Clodfelters! Go Beavs!

Best regards,

demo@gmail.com
"
<3964756.1075859890868.JavaMail.evans@thyme>,Sullivan & Cromwell fax,"Tana - please send a copy of the Stikeman memo to Peter Keohane.

Thanks!

Mark","
- Mark requested Tana to send a copy of the Stikeman memo to Peter Keohane.
"," Send a copy of the Stikeman memo to Peter Keohane.
"," Dear Mark,

I have forwarded the Stikeman memo to Peter Keohane, as requested.

Best regards,

Demo
"
<21051924.1075841265738.JavaMail.evans@thyme>,Start Date: 4/18/01; HourAhead hour: 13;  <CODESITE>,"Start Date: 4/18/01; HourAhead hour: 13;  No ancillary schedules awarded.  No 
variances detected.

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\WestDesk\California Scheduling\ISO Final 
Schedules\2001041813.txt","
- The email covers the schedule status for April 18, 2001, at 13:00.
- No ancillary schedules were awarded.
- No variances were detected.
- The log message indicates the system is parsing the final schedules file: `O:\Portland\WestDesk\California Scheduling\ISO Final Schedules\2001041813.txt`
"," No specific action items are identified for demo@gmail.com in this email. The email provides informational log messages about a parsing process.
"," Dear [Recipient],

Thank you for the update regarding the scheduling information for April 18th, 2001, at 13:00 (HourAhead). I appreciate the confirmation that no ancillary schedules were awarded and that no variances were detected.

demo@gmail.com acknowledges the log messages indicating the parsing of the file ""O:\Portland\WestDesk\California Scheduling\ISO Final Schedules\2001041813.txt"".

Best regards,

demo@gmail.com
"
<15129309.1075841644296.JavaMail.evans@thyme>,Re: Pinnacle West,"Thank you.  You're a champ.  Crack the whip and keep those traders in line.


   Kate Symes                01/26/2001 01:42 PM

To: Rhonda L Denton/HOU/ECT@ECT
cc:  
Subject: Re: Pinnacle West  

You're right - I've changed the deal to APS and e-mailed the Real Time group 
to let them know of this situation - they were unaware of the difference.

Thanks,
kate



Rhonda L Denton
01/26/2001 11:19 AM
To: Kate Symes/PDX/ECT@ECT
cc:  

Subject: Pinnacle West

Please check deal no. 500771 under Pinnacle West.  I thought Arizona Public 
Service kept all transmisson.  Please let me know what you find out.","
- Rhonda L Denton requested Kate Symes to investigate deal number 500771 under Pinnacle West, suspecting it should be under Arizona Public Service (APS).
- Kate Symes confirmed the deal was incorrectly listed under Pinnacle West.
- Kate Symes corrected the deal to APS and notified the Real Time group about the change.
"," No action items for demo@gmail.com
"," Dear Rhonda L Denton,

Thank you for bringing this to my attention. Kate Symes has already addressed the issue and updated the deal to APS, informing the Real Time group.

Best regards,

demo@gmail.com
"
<19508720.1075847091999.JavaMail.evans@thyme>,Re: EOL Credit Responses 07/24/00,"Tana:

Glencore Ltd. is NOT authorized to trade US power -- East or West.

Leslie","
- Glencore Ltd. is not authorized to trade US power, neither East nor West.
"," Review the information provided by Leslie regarding Glencore Ltd.'s lack of authorization to trade US power (East or West).
"," Dear Leslie,

Thank you for the clarification. We appreciate you bringing this to our attention regarding Glencore Ltd.'s authorization for US power trading. We will ensure this information is disseminated appropriately.

Best regards,

demo@gmail.com
"
<18017106.1075852087670.JavaMail.evans@thyme>,Re: Sierra Pacific Power Corp Confirms for Kern,"Gerald, the e-mail address is lreid@sppc.com.  Thanks. BT","
- Gerald was provided with the email address: lreid@sppc.com by BT.
"," This email thread does not contain any action items for demo@gmail.com.
"," Dear BT,

Thank you for the correction. I have updated my records with the correct email address for Gerald: lreid@sppc.com.

Best regards,

Demo
"
<14813873.1075862122009.JavaMail.evans@thyme>,December Bid Letter,- BIDREQ12.doc,"
- No email thread content provided. Therefore, no summary can be generated.
"," Review BIDREQ12.doc
"," Subject: Re: BIDREQ12.doc

Dear [Recipient],

Thank you for sending BIDREQ12.doc. I have received it and will review it shortly.

Sincerely,

demo@gmail.com
"
<1208092.1075840855568.JavaMail.evans@thyme>,Mid Year East Origination,"Louise, please find attached the info requested.  The total Origination shown is greater then the value that you had provided.  The attached values were taken off of the itemized report that you had previously forwarded.  

Frank","
- Frank sent Louise information she requested.
- The origination value in the attached info is higher than the value Louise previously provided.
- The attached values come from an itemized report Louise previously sent.
"," Review the attached information provided by Frank regarding the origination value discrepancy.
"," Dear Frank,

Thank you for sending over the information. I see the discrepancy in the Origination totals. I will review the itemized report I sent previously to see if I can identify where the difference lies. I'll get back to you with my findings as soon as possible.

Best regards,

Louise
"
<11179232.1075852469432.JavaMail.evans@thyme>,Amended Legislation,"Attached, please find links to the amended versions of ABX2 2 (windfall
profits tax) and ABX2 65 (market manipulation).  The new version of SBX2 78
(MOU) should be available early tomorrow, however the amendments I faxed out
yesterday represent the only changes to the bill.

http://info.sen.ca.gov/pub/bill/asm/ab_0001-0050/abx2_2_bill_20010904_amende
d_asm.pdf

http://info.sen.ca.gov/pub/bill/asm/ab_0051-0100/abx2_65_bill_20010904_amend
ed_asm.pdf","
- Amended versions of ABX2 2 (windfall profits tax) and ABX2 65 (market manipulation) are attached.
- The new version of SBX2 78 (MOU) will be available early tomorrow, with yesterday's faxed amendments representing the only changes.
- Links to the amended versions of ABX2 2 and ABX2 65 are provided.
"," Review the amended versions of ABX2 2 (windfall profits tax) and ABX2 65 (market manipulation) using the provided links.
"," Dear [Sender Name],

Thank you for sending the amended versions of ABX2 2 and ABX2 65. I appreciate the quick turnaround.

I will look forward to receiving the new version of SBX2 78 early tomorrow. Knowing the faxed amendments represent the only changes is helpful.

Best regards,

Demo
"
<11044096.1075844328421.JavaMail.evans@thyme>,Catalytica,"I made the changes the same day we spoke about them - and then I guess I 
forgot to send the newest version to you. So, here you are:","
- The sender has provided the recipient with the updated version of a document that was previously discussed.
- The sender apologizes for the delay in sending the updated version.
"," Review the newest version of the document/changes that were sent.
"," Dear [Recipient],

Thank you for sending over the updated version. I appreciate you taking the time to make those changes and for promptly sending it over. I'll review it shortly.

Best regards,

Demo
"
